Date,Open,High,Low,Close,Adj Close,Volume
2017-01-13,60.0,60.0,60.0,60.0,60.0,13
2017-01-17,60.0,60.0,60.0,60.0,60.0,0
2017-01-18,60.0,60.0,60.0,60.0,60.0,0
2017-01-19,60.0,60.0,60.0,60.0,60.0,0
2017-01-20,60.0,60.0,60.0,60.0,60.0,0
2017-01-23,60.0,60.0,60.0,60.0,60.0,0
2017-01-24,60.0,60.0,60.0,60.0,60.0,0
2017-01-25,60.0,60.0,60.0,60.0,60.0,0
2017-01-26,60.0,60.0,60.0,60.0,60.0,0
2017-01-27,60.0,60.0,60.0,60.0,60.0,0
2017-01-30,60.0,60.0,60.0,60.0,60.0,0
2017-01-31,60.0,60.0,60.0,60.0,60.0,0
2017-02-01,40.0,40.0,40.0,40.0,40.0,13
2017-02-02,40.0,40.0,40.0,40.0,40.0,0
2017-02-03,32.0,32.0,32.0,32.0,32.0,13
2017-02-06,32.0,32.0,32.0,32.0,32.0,0
2017-02-07,32.0,32.0,32.0,32.0,32.0,0
2017-02-08,32.0,32.0,32.0,32.0,32.0,0
2017-02-09,60.0,60.0,60.0,60.0,60.0,13
2017-02-10,60.0,60.0,60.0,60.0,60.0,0
2017-02-13,60.0,60.0,60.0,60.0,60.0,13
2017-02-14,60.0,60.0,60.0,60.0,60.0,0
2017-02-15,60.0,60.0,60.0,60.0,60.0,0
2017-02-16,52.0,52.0,52.0,52.0,52.0,13
2017-02-17,52.0,52.0,52.0,52.0,52.0,0
2017-02-21,52.0,52.0,52.0,52.0,52.0,0
2017-02-22,52.0,52.0,52.0,52.0,52.0,0
2017-02-23,52.0,52.0,52.0,52.0,52.0,0
2017-02-24,62.0,62.0,62.0,62.0,62.0,13
2017-02-27,62.0,62.0,62.0,62.0,62.0,0
2017-02-28,62.0,62.0,62.0,62.0,62.0,0
2017-03-01,112.0,112.0,112.0,112.0,112.0,13
2017-03-02,112.0,112.0,112.0,112.0,112.0,0
2017-03-03,112.0,112.0,112.0,112.0,112.0,0
2017-03-06,112.0,112.0,112.0,112.0,112.0,0
2017-03-07,112.0,112.0,112.0,112.0,112.0,0
2017-03-08,112.0,112.0,112.0,112.0,112.0,0
2017-03-09,112.0,112.0,112.0,112.0,112.0,0
2017-03-10,112.0,112.0,112.0,112.0,112.0,0
2017-03-13,112.0,112.0,112.0,112.0,112.0,0
2017-03-14,112.0,112.0,112.0,112.0,112.0,0
2017-03-15,112.0,112.0,112.0,112.0,112.0,13
2017-03-16,112.0,112.0,112.0,112.0,112.0,0
2017-03-17,112.0,112.0,112.0,112.0,112.0,0
2017-03-20,112.0,112.0,112.0,112.0,112.0,0
2017-03-21,112.0,112.0,112.0,112.0,112.0,0
2017-03-22,112.0,112.0,112.0,112.0,112.0,0
2017-03-23,32.79999923706055,56.0,32.400001525878906,32.400001525878906,32.400001525878906,125
2017-03-24,46.79999923706055,46.79999923706055,46.79999923706055,46.79999923706055,46.79999923706055,38
2017-03-27,32.0,32.0,32.0,32.0,32.0,25
2017-03-28,32.0,32.0,32.0,32.0,32.0,0
2017-03-29,32.0,32.0,32.0,32.0,32.0,0
2017-03-30,32.0,32.0,32.0,32.0,32.0,0
2017-03-31,19.200000762939453,20.0,19.200000762939453,20.0,20.0,63
2017-04-03,20.0,20.0,20.0,20.0,20.0,0
2017-04-04,16.0,20.31999969482422,15.199999809265137,15.199999809265137,15.199999809265137,63
2017-04-05,20.31999969482422,20.31999969482422,16.0,16.0,16.0,188
2017-04-06,14.199999809265137,15.920000076293945,14.0,14.0,14.0,113
2017-04-07,13.920000076293945,13.920000076293945,4.400000095367432,7.199999809265137,7.199999809265137,4975
2017-04-10,5.599999904632568,12.0,5.599999904632568,8.399999618530273,8.399999618530273,363
2017-04-11,10.399999618530273,10.399999618530273,7.199999809265137,7.199999809265137,7.199999809265137,963
2017-04-12,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,125
2017-04-13,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,38
2017-04-17,7.599999904632568,7.599999904632568,6.400000095367432,6.495999813079834,6.495999813079834,238
