Date,Open,High,Low,Close,Adj Close,Volume
1999-04-13,14.0,14.0,14.0,14.0,5.543752670288086,1200
1999-04-14,14.0,14.0,14.0,14.0,5.543752670288086,800
1999-04-15,14.0,14.0,14.0,14.0,5.543752670288086,600
1999-04-16,14.0,14.0,14.0,14.0,5.543752670288086,0
1999-04-19,14.0,14.0,14.0,14.0,5.543752670288086,0
1999-04-20,13.75,13.75,13.5625,13.5625,5.370513916015625,3000
1999-04-21,13.875,13.875,13.875,13.875,5.494256496429443,1400
1999-04-22,13.875,13.875,13.5,13.5,5.345761299133301,1800
1999-04-23,13.5,13.75,13.5,13.6875,5.420009136199951,2600
1999-04-26,13.5,13.5,13.5,13.5,5.345761299133301,1000
1999-04-27,13.75,14.0,13.75,13.75,5.444758892059326,5800
1999-04-28,14.5,14.5,14.4375,14.4375,5.716995716094971,1800
1999-04-29,14.4375,14.4375,14.25,14.25,5.642751693725586,3600
1999-04-30,14.125,14.125,14.125,14.125,5.593253135681152,4000
1999-05-03,14.125,14.125,14.125,14.125,5.593253135681152,0
1999-05-04,14.0,14.0,14.0,14.0,5.543752670288086,1000
1999-05-05,14.0,14.0,14.0,14.0,5.543752670288086,0
1999-05-06,14.1875,14.1875,14.1875,14.1875,5.618000030517578,400
1999-05-07,14.1875,14.1875,14.1875,14.1875,5.618000030517578,0
1999-05-10,14.1875,14.25,14.0,14.0,5.543752670288086,4400
1999-05-11,14.0,14.0,14.0,14.0,5.543752670288086,0
1999-05-12,14.25,14.25,14.25,14.25,5.642751693725586,2000
1999-05-13,14.25,14.25,14.25,14.25,5.642751693725586,0
1999-05-14,14.375,14.375,14.25,14.25,5.642751693725586,4200
1999-05-17,14.25,14.25,14.25,14.25,5.642751693725586,1200
1999-05-18,14.375,14.375,14.25,14.25,5.642751693725586,1600
1999-05-19,14.25,14.25,14.25,14.25,5.642751693725586,600
1999-05-20,14.25,14.25,14.25,14.25,5.642751693725586,4000
1999-05-21,14.25,14.25,14.25,14.25,5.642751693725586,0
1999-05-24,14.25,14.25,14.25,14.25,5.642751693725586,0
1999-05-25,14.25,14.25,14.25,14.25,5.642751693725586,0
1999-05-26,14.0,14.125,14.0,14.125,5.593253135681152,1200
1999-05-27,14.4375,14.4375,14.25,14.25,5.642751693725586,4600
1999-05-28,14.25,14.25,14.25,14.25,5.642751693725586,2400
1999-06-01,14.25,14.375,14.25,14.375,5.692248821258545,2800
1999-06-02,14.4375,15.5,14.4375,14.875,5.89024019241333,7400
1999-06-03,15.5,15.5,15.0,15.0,5.939737319946289,5000
1999-06-04,14.9375,14.9375,14.9375,14.9375,5.914986610412598,800
1999-06-07,14.9375,14.9375,14.9375,14.9375,5.914986610412598,0
1999-06-08,15.0,15.0,15.0,15.0,5.939737319946289,600
1999-06-09,15.0,15.0,15.0,15.0,5.993680953979492,0
1999-06-10,15.25,15.25,15.25,15.25,6.09357213973999,8800
1999-06-11,15.25,15.25,15.25,15.25,6.09357213973999,0
1999-06-14,15.25,15.375,15.25,15.375,6.143517971038818,1400
1999-06-15,15.375,15.375,15.375,15.375,6.143517971038818,0
1999-06-16,15.375,15.375,15.375,15.375,6.143517971038818,0
1999-06-17,15.75,17.25,15.75,17.0,6.792834281921387,20000
