Date,Open,High,Low,Close,Adj Close,Volume
1982-10-06,0.0,4.375,3.875,3.875,2.203097343444824,2000
1982-10-07,3.875,3.875,3.875,3.875,2.203097343444824,0
1982-10-08,3.875,3.875,3.875,3.875,2.203097343444824,0
1982-10-11,3.875,3.875,3.875,3.875,2.203097343444824,0
1982-10-12,0.0,4.375,4.125,4.125,2.3452329635620117,8000
1982-10-13,0.0,4.75,4.5,4.5,2.558436393737793,9900
1982-10-14,0.0,4.75,4.5,4.5,2.558436393737793,13200
1982-10-15,4.5,4.5,4.5,4.5,2.558436393737793,0
1982-10-18,0.0,4.75,4.375,4.375,2.487368583679199,5000
1982-10-19,0.0,4.375,4.125,4.125,2.3452329635620117,5200
1982-10-20,0.0,4.375,4.125,4.125,2.3452329635620117,2300
1982-10-21,0.0,4.125,3.875,3.875,2.203097343444824,1600
1982-10-22,0.0,4.0,3.875,3.875,2.203097343444824,1200
1982-10-25,3.875,3.875,3.875,3.875,2.203097343444824,0
1982-10-26,3.875,3.875,3.875,3.875,2.203097343444824,0
1982-10-27,3.875,3.875,3.875,3.875,2.203097343444824,0
1982-10-28,3.875,3.875,3.875,3.875,2.203097343444824,0
1982-10-29,0.0,3.875,3.5,3.5,1.9898940324783325,1500
1982-11-01,3.5,3.5,3.5,3.5,1.9898940324783325,0
1982-11-02,3.5,3.5,3.5,3.5,1.9898940324783325,0
1982-11-03,3.5,3.5,3.5,3.5,1.9898940324783325,0
1982-11-04,0.0,3.75,3.5,3.5,1.9898940324783325,1400
1982-11-05,0.0,3.875,3.5,3.5,1.9898940324783325,3600
1982-11-08,3.5,3.5,3.5,3.5,1.9898940324783325,0
1982-11-09,3.5,3.5,3.5,3.5,1.9898940324783325,0
1982-11-10,3.5,3.5,3.5,3.5,1.9898940324783325,0
1982-11-11,0.0,3.625,3.375,3.375,1.9188271760940552,1700
1982-11-12,3.375,3.375,3.375,3.375,1.9188271760940552,0
1982-11-15,3.375,3.375,3.375,3.375,1.9188271760940552,0
1982-11-16,3.375,3.375,3.375,3.375,1.9188271760940552,0
1982-11-17,3.375,3.375,3.375,3.375,1.9188271760940552,0
1982-11-18,0.0,3.5,3.125,3.125,1.776692271232605,200
1982-11-19,3.125,3.125,3.125,3.125,1.776692271232605,0
1982-11-22,3.125,3.125,3.125,3.125,1.776692271232605,0
1982-11-23,0.0,3.125,2.875,2.875,1.6345558166503906,1600
1982-11-24,2.875,2.875,2.875,2.875,1.6345558166503906,0
1982-11-26,2.875,2.875,2.875,2.875,1.6345558166503906,0
1982-11-29,0.0,3.125,2.75,2.75,1.5634886026382446,1000
1982-11-30,2.75,2.75,2.75,2.75,1.5634886026382446,0
1982-12-01,2.75,2.75,2.75,2.75,1.5634886026382446,0
1982-12-02,2.75,2.75,2.75,2.75,1.5634886026382446,0
1982-12-03,2.75,2.75,2.75,2.75,1.5634886026382446,0
1982-12-06,2.75,2.75,2.75,2.75,1.5634886026382446,0
1982-12-07,0.0,3.125,2.75,2.75,1.5634886026382446,100
1982-12-08,2.75,2.75,2.75,2.75,1.5634886026382446,0
1982-12-09,2.75,2.75,2.75,2.75,1.5634886026382446,0
1982-12-10,0.0,3.125,2.75,2.75,1.5634886026382446,400
1982-12-13,2.75,2.75,2.75,2.75,1.5634886026382446,0
1982-12-14,2.75,2.75,2.75,2.75,1.5634886026382446,0
1982-12-15,0.0,2.75,2.375,2.375,1.3502862453460693,900
1982-12-16,0.0,2.75,2.375,2.375,1.3502862453460693,100
1982-12-17,0.0,2.75,2.25,2.25,1.2792181968688965,500
1982-12-20,0.0,2.625,2.25,2.25,1.2792181968688965,4600
1982-12-21,0.0,2.625,2.25,2.25,1.2792181968688965,500
1982-12-22,2.25,2.25,2.25,2.25,1.2792181968688965,0
1982-12-23,0.0,2.625,2.25,2.25,1.2792181968688965,200
1982-12-27,2.25,2.25,2.25,2.25,1.2792181968688965,0
1982-12-28,2.25,2.25,2.25,2.25,1.2792181968688965,0
1982-12-29,0.0,2.625,2.375,2.375,1.3502862453460693,800
1982-12-30,2.375,2.375,2.375,2.375,1.3502862453460693,0
1982-12-31,2.375,2.375,2.375,2.375,1.3502862453460693,0
1983-01-03,2.375,2.375,2.375,2.375,1.3502862453460693,0
1983-01-04,2.375,2.375,2.375,2.375,1.3502862453460693,0
1983-01-05,0.0,3.125,2.875,2.875,1.6345558166503906,400
1983-01-06,2.875,2.875,2.875,2.875,1.6345558166503906,0
1983-01-07,0.0,3.875,3.375,3.375,1.9188271760940552,2700
1983-01-10,0.0,4.5,4.0,4.0,2.274165630340576,3200
1983-01-11,4.0,4.0,4.0,4.0,2.274165630340576,0
