datetime,open,high,low,close,volume,average,barCount,symbol,interval
2014-09-18 00:00:00+00:00,76.8,77.33,76.52,77.0,20514600.0,76.958,88645,META,1d
2014-09-19 00:00:00+00:00,77.36,78.3,76.44,77.91,34508500.0,77.226,128197,META,1d
2014-09-22 00:00:00+00:00,77.0,77.53,75.95,76.8,27779500.0,76.658,126357,META,1d
2014-09-23 00:00:00+00:00,76.34,78.63,76.04,78.29,33916000.0,77.718,128374,META,1d
2014-09-24 00:00:00+00:00,78.1,78.62,77.51,78.53,26536700.0,78.188,111613,META,1d
2014-09-25 00:00:00+00:00,78.61,78.94,77.13,77.22,33276600.0,77.759,135369,META,1d
2014-09-26 00:00:00+00:00,77.59,78.84,77.33,78.79,24126400.0,78.328,99803,META,1d
2014-09-29 00:00:00+00:00,78.12,79.2,77.91,79.0,29836700.0,78.739,122551,META,1d
2014-09-30 00:00:00+00:00,79.33,79.7,78.6,79.04,30979600.0,79.168,123069,META,1d
2014-10-01 00:00:00+00:00,78.74,78.82,75.9,76.55,51218600.0,76.863,208630,META,1d
2014-10-02 00:00:00+00:00,76.62,77.48,75.64,77.08,33968300.0,76.764,137987,META,1d
2014-10-03 00:00:00+00:00,77.76,78.06,77.26,77.44,20577500.0,77.652,87176,META,1d
2014-10-06 00:00:00+00:00,77.17,77.89,76.85,77.56,23810900.0,77.387,104044,META,1d
2014-10-07 00:00:00+00:00,77.08,77.95,76.24,76.29,23247600.0,77.116,102685,META,1d
2014-10-08 00:00:00+00:00,76.18,77.71,75.1,77.52,30128300.0,76.41,123116,META,1d
2014-10-09 00:00:00+00:00,77.25,77.76,75.85,75.91,29161700.0,76.684,126902,META,1d
2014-10-10 00:00:00+00:00,75.54,76.5,72.76,72.91,45518600.0,74.233,209168,META,1d
2014-10-13 00:00:00+00:00,73.22,74.78,72.52,72.99,38619600.0,73.745,184920,META,1d
2014-10-14 00:00:00+00:00,74.03,74.18,72.05,73.59,40926400.0,73.261,212796,META,1d
2014-10-15 00:00:00+00:00,71.69,73.8,70.32,73.21,55556300.0,72.26,287539,META,1d
2014-10-16 00:00:00+00:00,70.85,73.35,70.58,72.63,46940700.0,72.118,223146,META,1d
2014-10-17 00:00:00+00:00,74.23,76.0,73.75,75.95,47559300.0,74.953,210603,META,1d
2014-10-20 00:00:00+00:00,75.62,77.09,75.38,76.95,30606600.0,76.51,133056,META,1d
2014-10-21 00:00:00+00:00,77.56,78.74,77.15,78.69,29124500.0,78.029,119660,META,1d
2014-10-22 00:00:00+00:00,78.81,79.85,78.01,78.37,38899400.0,78.906,170394,META,1d
2014-10-23 00:00:00+00:00,79.38,80.63,79.01,80.04,31770900.0,79.954,146676,META,1d
2014-10-24 00:00:00+00:00,80.1,80.76,79.32,80.67,27217100.0,79.906,122810,META,1d
2014-10-27 00:00:00+00:00,80.74,80.8,79.76,80.28,25225200.0,80.241,116477,META,1d
2014-10-28 00:00:00+00:00,80.18,81.16,79.57,80.77,45589100.0,80.397,183955,META,1d
2014-10-29 00:00:00+00:00,75.45,76.88,74.78,75.86,89324700.0,75.841,380024,META,1d
2014-10-30 00:00:00+00:00,75.06,75.35,72.9,74.11,77396300.0,73.982,324060,META,1d
2014-10-31 00:00:00+00:00,74.83,75.7,74.45,74.99,39210400.0,74.978,182494,META,1d
2014-11-03 00:00:00+00:00,75.47,75.52,73.7,73.88,36937200.0,74.479,155058,META,1d
2014-11-04 00:00:00+00:00,74.24,75.77,73.65,75.76,35306700.0,74.832,163088,META,1d
2014-11-05 00:00:00+00:00,76.51,76.8,74.42,74.83,31923200.0,75.36,149617,META,1d
2014-11-06 00:00:00+00:00,74.89,75.6,74.31,75.26,18654700.0,75.18,87120,META,1d
2014-11-07 00:00:00+00:00,75.39,75.86,75.02,75.6,17716900.0,75.516,80295,META,1d
2014-11-10 00:00:00+00:00,75.39,75.48,74.61,75.0,18967300.0,75.026,79228,META,1d
2014-11-11 00:00:00+00:00,74.95,74.98,74.03,74.61,16238400.0,74.39,69000,META,1d
2014-11-12 00:00:00+00:00,74.28,75.14,73.54,74.72,24003100.0,74.264,104760,META,1d
2014-11-13 00:00:00+00:00,74.74,75.24,73.64,74.25,23490700.0,74.341,104798,META,1d
2014-11-14 00:00:00+00:00,74.27,74.93,74.04,74.88,17437200.0,74.613,77391,META,1d
2014-11-17 00:00:00+00:00,74.87,75.66,73.88,74.24,50924200.0,74.587,230302,META,1d
2014-11-18 00:00:00+00:00,74.46,74.8,73.9,74.34,17656400.0,74.358,80125,META,1d
2014-11-19 00:00:00+00:00,74.01,74.54,73.11,73.33,22434300.0,73.716,97888,META,1d
2014-11-20 00:00:00+00:00,72.8,73.99,72.51,73.6,17028600.0,73.434,68749,META,1d
2014-11-21 00:00:00+00:00,74.5,74.5,73.5,73.75,19735300.0,73.93,80677,META,1d
2014-11-24 00:00:00+00:00,73.54,74.35,73.35,74.01,19381400.0,74.021,80757,META,1d
2014-11-25 00:00:00+00:00,74.17,75.74,74.13,75.63,27522600.0,75.214,121766,META,1d
2014-11-26 00:00:00+00:00,75.5,77.78,75.5,77.62,29671900.0,77.057,131725,META,1d
2014-11-28 00:00:00+00:00,77.68,78.27,77.23,77.7,13335000.0,77.696,61804,META,1d
2014-12-01 00:00:00+00:00,77.27,77.31,74.8,75.1,28326000.0,75.743,137203,META,1d
2014-12-02 00:00:00+00:00,75.34,75.91,75.04,75.46,14446700.0,75.506,69875,META,1d
2014-12-03 00:00:00+00:00,75.39,75.73,74.4,74.88,14039100.0,74.944,71005,META,1d
2014-12-04 00:00:00+00:00,74.83,75.55,74.66,75.24,12764400.0,75.161,63185,META,1d
2014-12-05 00:00:00+00:00,75.8,76.76,75.36,76.36,21892400.0,76.305,94380,META,1d
2014-12-08 00:00:00+00:00,76.18,77.25,75.4,76.52,23090400.0,76.414,108424,META,1d
2014-12-09 00:00:00+00:00,75.2,76.93,74.78,76.84,22089300.0,75.8,105573,META,1d
2014-12-10 00:00:00+00:00,76.65,77.55,76.07,76.18,28845400.0,76.967,125799,META,1d
2014-12-11 00:00:00+00:00,76.53,78.52,76.48,77.73,29345200.0,77.866,138810,META,1d
2014-12-12 00:00:00+00:00,77.19,78.88,77.02,77.83,25197100.0,78.332,118572,META,1d
2014-12-15 00:00:00+00:00,78.47,78.58,76.56,76.99,26489100.0,77.694,134460,META,1d
2014-12-16 00:00:00+00:00,76.19,77.39,74.59,74.69,28398600.0,76.174,143240,META,1d
2014-12-17 00:00:00+00:00,75.02,76.41,74.9,76.11,25763300.0,75.706,134519,META,1d
2014-12-18 00:00:00+00:00,76.9,78.4,76.51,78.4,28603600.0,77.86,143732,META,1d
