Date,Open,High,Low,Close,Adj Close,Volume
2014-03-17,226.5,226.5,202.5,225.0,225.0,0
2014-03-18,232.5,300.0,187.5,300.0,300.0,30
2014-03-19,300.0,300.0,300.0,300.0,300.0,0
2014-03-20,300.0,300.0,300.0,300.0,300.0,0
2014-03-21,300.0,315.0,225.0,225.0,225.0,29
2014-03-24,187.5,187.5,187.5,187.5,187.5,1
2014-03-25,187.5,187.5,187.5,187.5,187.5,1
2014-03-26,165.0,210.0,127.5,210.0,210.0,69
2014-03-27,225.0,412.5,225.0,376.5,376.5,82
2014-03-28,448.5,825.0,378.0,540.0,540.0,222
2014-03-31,450.0,1309.5,450.0,1177.5,1177.5,715
2014-04-01,1185.0,1275.0,975.0,1030.5,1030.5,395
2014-04-02,1045.5,1045.5,750.0,900.0,900.0,142
2014-04-03,907.5,930.0,840.0,885.0,885.0,48
2014-04-04,873.75,1162.5,873.75,1072.5,1072.5,199
2014-04-07,1125.0,1248.0,1087.5,1108.5,1108.5,247
2014-04-08,1110.0,1110.0,985.5,1065.0,1065.0,75
2014-04-09,1003.5,1020.0,1002.0,1012.5,1012.5,23
2014-04-10,1005.0,1192.5,903.0,1012.5,1012.5,183
2014-04-11,1012.5,1162.5,990.0,1050.0,1050.0,137
2014-04-14,1087.5,1117.5,982.5,1020.0,1020.0,42
2014-04-15,1035.0,1050.0,945.0,975.0,975.0,111
2014-04-16,945.0,1035.0,939.0,939.0,939.0,35
2014-04-17,975.0,975.0,772.5,795.0,795.0,127
2014-04-21,795.0,906.0,714.0,750.0,750.0,94
2014-04-22,750.0,757.5,487.5,637.5,637.5,235
2014-04-23,637.5,637.5,525.0,570.0,570.0,88
2014-04-24,630.0,823.5,630.0,724.5,724.5,202
2014-04-25,724.5,757.5,718.5,750.0,750.0,77
2014-04-28,757.5,757.5,675.0,750.0,750.0,70
2014-04-29,750.0,750.0,675.0,720.0,720.0,44
2014-04-30,645.0,660.0,645.0,645.0,645.0,24
2014-05-01,660.0,660.0,498.0,498.0,498.0,257
2014-05-02,531.0,555.0,498.0,525.0,525.0,163
2014-05-05,555.0,555.0,525.0,534.0,534.0,36
2014-05-06,525.0,525.0,495.0,525.0,525.0,66
2014-05-07,487.5,523.5,465.0,465.0,465.0,41
2014-05-08,517.5,517.5,465.0,472.5,472.5,14
2014-05-09,450.0,481.5,354.0,427.5,427.5,43
2014-05-12,427.5,472.5,358.5,375.0,375.0,49
2014-05-13,376.5,472.5,376.5,471.0,471.0,36
2014-05-14,471.0,471.0,471.0,471.0,471.0,5
2014-05-15,471.0,480.0,390.0,480.0,480.0,49
2014-05-16,450.0,486.0,450.0,486.0,486.0,7
2014-05-19,495.0,534.0,457.5,502.5,502.5,52
2014-05-20,462.0,555.0,421.5,510.0,510.0,41
2014-05-21,510.0,510.0,457.5,495.0,495.0,13
2014-05-22,457.5,595.5,457.5,517.5,517.5,165
2014-05-23,517.5,517.5,451.5,456.0,456.0,28
2014-05-27,495.0,502.5,472.5,480.0,480.0,91
2014-05-28,480.0,523.5,472.5,472.5,472.5,33
2014-05-29,472.5,510.0,472.5,472.5,472.5,18
2014-05-30,510.0,510.0,510.0,510.0,510.0,4
2014-06-02,495.0,562.5,376.5,442.5,442.5,65
2014-06-03,442.5,442.5,442.5,442.5,442.5,7
2014-06-04,427.5,427.5,427.5,427.5,427.5,5
2014-06-05,427.5,427.5,427.5,427.5,427.5,0
2014-06-06,429.0,457.5,367.5,450.0,450.0,60
2014-06-09,480.0,480.0,412.5,412.5,412.5,196
2014-06-10,412.5,420.0,412.5,420.0,420.0,21
2014-06-11,405.0,420.0,390.0,390.0,390.0,24
2014-06-12,390.0,390.0,301.5,358.5,358.5,150
2014-06-13,316.5,355.5,307.5,315.0,315.0,65
2014-06-16,337.5,337.5,330.0,333.0,333.0,8
2014-06-17,412.5,447.0,390.0,415.5,415.5,412
2014-06-18,450.0,487.5,444.0,480.0,480.0,157
2014-06-19,491.25,517.5,480.0,517.5,517.5,164
2014-06-20,546.0,558.0,532.5,540.0,540.0,220
2014-06-23,547.5,604.5,547.5,598.5,598.5,365
2014-06-24,596.25,598.5,451.5,510.0,510.0,255
2014-06-25,510.0,510.0,415.5,508.5,508.5,110
2014-06-26,466.5,507.0,466.5,496.5,496.5,24
2014-06-27,496.5,513.0,456.0,513.0,513.0,200
2014-06-30,514.5,523.5,472.5,511.5,511.5,103
2014-07-01,510.0,510.0,468.0,472.5,472.5,47
2014-07-02,472.5,472.5,420.0,456.0,456.0,107
2014-07-03,457.5,457.5,448.5,454.5,454.5,24
2014-07-07,457.5,489.0,457.5,462.0,462.0,131
2014-07-08,465.0,472.5,463.5,472.5,472.5,68
